2017-02-28 00:03:15,546 django.db.backends   DEBUG    utils | (0.000) SELECT `shop_workflow_fact`.`id`, `shop_workflow_fact`.`dropoff_date`, `shop_workflow_fact`.`pickup_date`, `shop_workflow_fact`.`assigned_mechanic_id`, `shop_workflow_fact`.`los`, `shop_workflow_fact`.`type_of_repair` FROM `shop_workflow_fact` WHERE `shop_workflow_fact`.`id` = 10; args=(10,)
2017-02-28 00:03:15,547 shop_workflow.models DEBUG    models | length of service in business days from 2016-12-05 00:00:00 to 2016-12-10 00:00:00 is 5
2017-02-28 00:03:15,548 django.db.backends   DEBUG    utils | (0.000) UPDATE `shop_workflow_fact` SET `dropoff_date` = '2016-12-05', `pickup_date` = '2016-12-10', `assigned_mechanic_id` = 6, `los` = 5, `type_of_repair` = 'F' WHERE `shop_workflow_fact`.`id` = 10; args=(u'2016-12-05', u'2016-12-10', 6, 5, 'F', 10)
2017-02-28 00:07:55,899 django.db.backends.schema DEBUG    schema | CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); (params None)
2017-02-28 00:07:55,909 django.db.backends.schema DEBUG    schema | CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
2017-02-28 00:07:55,915 django.db.backends.schema DEBUG    schema | ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); (params [])
2017-02-28 00:07:55,927 django.db.backends.schema DEBUG    schema | CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); (params None)
2017-02-28 00:07:55,939 django.db.backends.schema DEBUG    schema | CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); (params None)
2017-02-28 00:07:55,944 django.db.backends.schema DEBUG    schema | CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL); (params None)
2017-02-28 00:07:55,953 django.db.backends.schema DEBUG    schema | CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL); (params None)
2017-02-28 00:07:55,958 django.db.backends.schema DEBUG    schema | CREATE TABLE `auth_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL); (params None)
2017-02-28 00:07:55,962 django.db.backends.schema DEBUG    schema | CREATE TABLE `auth_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL); (params None)
2017-02-28 00:07:55,967 django.db.backends.schema DEBUG    schema | ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permissi_content_type_id_2f476e4b_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params [])
2017-02-28 00:07:55,971 django.db.backends.schema DEBUG    schema | ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permission_content_type_id_01ab375a_uniq` UNIQUE (`content_type_id`, `codename`); (params [])
2017-02-28 00:07:55,982 django.db.backends.schema DEBUG    schema | ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_b120cbf9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
2017-02-28 00:07:55,986 django.db.backends.schema DEBUG    schema | ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissi_permission_id_84c5c92e_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
2017-02-28 00:07:55,991 django.db.backends.schema DEBUG    schema | ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_0cd325b0_uniq` UNIQUE (`group_id`, `permission_id`); (params [])
2017-02-28 00:07:55,996 django.db.backends.schema DEBUG    schema | ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_6a12ed8b_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
2017-02-28 00:07:56,000 django.db.backends.schema DEBUG    schema | ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_97559544_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
2017-02-28 00:07:56,004 django.db.backends.schema DEBUG    schema | ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_94350c0c_uniq` UNIQUE (`user_id`, `group_id`); (params [])
2017-02-28 00:07:56,011 django.db.backends.schema DEBUG    schema | ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissions_user_id_a95ead1b_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
